order_id,customer_id,kategori,kota,metode_pembayaran,pendapatan
O109,11,Makanan,Semarang,Transfer Bank,415755
O110,1,Elektronik,Solo,Kartu Kredit,152927
O111,18,Rumah Tangga,Yogyakarta,COD,209943
O112,17,Elektronik,Solo,E-Wallet,308381
O113,12,Rumah Tangga,Solo,Transfer Bank,401686
O114,13,Makanan,Magelang,E-Wallet,466128
O115,5,Makanan,Yogyakarta,Kartu Kredit,133123
O116,3,Kesehatan,Solo,Kartu Kredit,186197
O117,5,Elektronik,Purworejo,Transfer Bank,215751
O118,13,Kesehatan,Yogyakarta,E-Wallet,302415
O119,3,Elektronik,Yogyakarta,COD,205267
O120,18,Kesehatan,Solo,Kartu Kredit,460808
O121,18,Makanan,Solo,Kartu Kredit,443018
O122,13,Fashion,Purworejo,E-Wallet,96822
O123,2,Kesehatan,Purworejo,COD,84040
O124,20,Makanan,Purworejo,Kartu Kredit,366241
O125,4,Rumah Tangga,Purworejo,E-Wallet,358829
O126,15,Kesehatan,Yogyakarta,E-Wallet,287338
O127,3,Fashion,Semarang,Transfer Bank,97945
O128,20,Kesehatan,Yogyakarta,E-Wallet,378205
O129,20,Elektronik,Solo,E-Wallet,113195
O130,19,Rumah Tangga,Yogyakarta,COD,386952
O131,17,Elektronik,Yogyakarta,Transfer Bank,152898
O132,12,Fashion,Purworejo,Kartu Kredit,255478
O133,19,Elektronik,Magelang,E-Wallet,300713
O134,20,Fashion,Semarang,E-Wallet,219219
O135,16,Makanan,Magelang,E-Wallet,293084
O136,1,Elektronik,Semarang,COD,158967
O137,12,Elektronik,Magelang,E-Wallet,421797
O138,20,Elektronik,Yogyakarta,E-Wallet,236606
O139,19,Kesehatan,Purworejo,E-Wallet,216483
O140,10,Kesehatan,Semarang,COD,170546
O141,8,Elektronik,Magelang,E-Wallet,409794
O142,14,Fashion,Purworejo,COD,85128
O143,3,Makanan,Yogyakarta,Transfer Bank,194630
O144,13,Kesehatan,Solo,Transfer Bank,432916
O145,14,Elektronik,Purworejo,E-Wallet,163502
O146,19,Elektronik,Magelang,E-Wallet,357046
O147,11,Makanan,Purworejo,COD,296709
O148,11,Rumah Tangga,Solo,Kartu Kredit,492214
O149,18,Rumah Tangga,Magelang,Kartu Kredit,412875
O150,18,Makanan,Purworejo,Transfer Bank,389904
O151,13,Makanan,Purworejo,E-Wallet,240803
O152,12,Kesehatan,Magelang,E-Wallet,378960
O153,12,Fashion,Magelang,E-Wallet,56538
O154,18,Elektronik,Magelang,E-Wallet,196270
O155,18,Makanan,Yogyakarta,Kartu Kredit,289793
O156,7,Makanan,Solo,Transfer Bank,212436
O157,19,Makanan,Solo,Kartu Kredit,283957
O158,2,Rumah Tangga,Purworejo,Kartu Kredit,360347
O159,7,Elektronik,Purworejo,COD,169422
O160,10,Kesehatan,Yogyakarta,COD,404990
O161,19,Fashion,Semarang,Transfer Bank,316311
O162,15,Makanan,Magelang,E-Wallet,431458
O163,16,Fashion,Magelang,E-Wallet,214761
O164,16,Makanan,Purworejo,Transfer Bank,54476
O165,4,Kesehatan,Yogyakarta,Transfer Bank,221490
O166,5,Rumah Tangga,Solo,Transfer Bank,116650
O167,6,Kesehatan,Purworejo,COD,470672
O168,20,Kesehatan,Magelang,Kartu Kredit,398407
O169,2,Makanan,Semarang,Transfer Bank,280095
O170,11,Rumah Tangga,Purworejo,Kartu Kredit,332157
O171,13,Kesehatan,Semarang,COD,202087
O172,3,Kesehatan,Semarang,Kartu Kredit,380211
O173,1,Fashion,Magelang,COD,262022
O174,8,Fashion,Purworejo,E-Wallet,318714
O175,2,Elektronik,Magelang,COD,493296
O176,17,Elektronik,Purworejo,E-Wallet,329806
O177,17,Fashion,Solo,E-Wallet,487120
O178,15,Rumah Tangga,Yogyakarta,COD,424910
O179,18,Rumah Tangga,Solo,Transfer Bank,401028
O180,3,Rumah Tangga,Solo,E-Wallet,261609
O181,3,Kesehatan,Semarang,Kartu Kredit,64639
O182,4,Kesehatan,Semarang,Transfer Bank,331893
O183,2,Fashion,Semarang,COD,342894
O184,12,Kesehatan,Magelang,E-Wallet,158032
O185,11,Fashion,Solo,Kartu Kredit,213978
O186,12,Fashion,Magelang,Transfer Bank,252499
O187,17,Elektronik,Solo,E-Wallet,397130
O188,1,Makanan,Yogyakarta,Kartu Kredit,317161
O189,2,Rumah Tangga,Semarang,Kartu Kredit,185730
O190,12,Makanan,Semarang,Transfer Bank,295969
O191,8,Elektronik,Purworejo,COD,177245
O192,20,Makanan,Purworejo,E-Wallet,365894
O193,14,Rumah Tangga,Semarang,E-Wallet,457058
O194,15,Rumah Tangga,Solo,Transfer Bank,55090
O195,1,Kesehatan,Semarang,Transfer Bank,478817
O196,2,Kesehatan,Yogyakarta,Kartu Kredit,125328
O197,10,Fashion,Purworejo,COD,414764
O198,7,Rumah Tangga,Magelang,E-Wallet,431865
O199,8,Makanan,Magelang,COD,174747
O200,8,Fashion,Purworejo,Transfer Bank,492304
O201,6,Makanan,Magelang,Transfer Bank,444635
O202,17,Kesehatan,Semarang,Transfer Bank,428415
O203,10,Kesehatan,Yogyakarta,E-Wallet,460808
O204,4,Makanan,Solo,E-Wallet,483703
O205,14,Kesehatan,Semarang,Transfer Bank,329463
O206,15,Makanan,Purworejo,E-Wallet,147329
O207,2,Fashion,Semarang,Transfer Bank,118635
O208,5,Rumah Tangga,Magelang,COD,158008
O209,20,Elektronik,Magelang,E-Wallet,337106
O210,12,Rumah Tangga,Solo,Kartu Kredit,111608
O211,12,Kesehatan,Semarang,Kartu Kredit,93038
O212,12,Fashion,Yogyakarta,COD,450038
O213,17,Fashion,Semarang,E-Wallet,375181
O214,4,Fashion,Purworejo,Kartu Kredit,464231
O215,15,Elektronik,Yogyakarta,E-Wallet,130707
O216,17,Makanan,Solo,Transfer Bank,364701
O217,4,Makanan,Purworejo,Transfer Bank,363851
O218,10,Kesehatan,Solo,Kartu Kredit,271622
O219,2,Fashion,Yogyakarta,Transfer Bank,437446
O220,4,Makanan,Purworejo,E-Wallet,162996
O221,6,Rumah Tangga,Semarang,Transfer Bank,359984
O222,16,Kesehatan,Purworejo,Transfer Bank,140887
O223,2,Makanan,Semarang,Kartu Kredit,426657
O224,15,Kesehatan,Semarang,E-Wallet,86116
O225,13,Fashion,Yogyakarta,COD,59771
O226,3,Kesehatan,Solo,E-Wallet,132921
O227,5,Fashion,Magelang,Transfer Bank,366889
O228,14,Makanan,Magelang,Kartu Kredit,299211
O229,13,Makanan,Semarang,COD,319393
O230,17,Makanan,Semarang,Kartu Kredit,484093
O231,16,Kesehatan,Semarang,COD,206154
O232,2,Fashion,Purworejo,Transfer Bank,337738
O233,18,Fashion,Semarang,E-Wallet,75752
O234,6,Rumah Tangga,Purworejo,COD,316480
O235,4,Kesehatan,Yogyakarta,E-Wallet,274615
O236,12,Elektronik,Purworejo,Transfer Bank,130992
O237,9,Rumah Tangga,Magelang,COD,332136
O238,10,Rumah Tangga,Semarang,COD,406312
O239,11,Makanan,Purworejo,E-Wallet,239209
O240,15,Rumah Tangga,Magelang,E-Wallet,488291
O241,5,Fashion,Purworejo,Transfer Bank,186924
O242,19,Makanan,Purworejo,E-Wallet,418030
O243,7,Fashion,Semarang,COD,203474
O244,12,Elektronik,Yogyakarta,COD,336594
O245,1,Rumah Tangga,Solo,E-Wallet,446090
O246,4,Elektronik,Semarang,E-Wallet,393108
O247,15,Elektronik,Magelang,COD,177054
O248,6,Fashion,Solo,Transfer Bank,328284
O249,20,Rumah Tangga,Purworejo,Transfer Bank,457696
O250,12,Makanan,Solo,E-Wallet,308486
O251,18,Elektronik,Yogyakarta,COD,351964
O252,14,Rumah Tangga,Magelang,Transfer Bank,110348
O253,5,Makanan,Semarang,Transfer Bank,375791
O254,3,Makanan,Solo,Transfer Bank,448768
O255,7,Makanan,Semarang,Kartu Kredit,237533
O256,9,Fashion,Magelang,Kartu Kredit,179065
O257,17,Rumah Tangga,Semarang,COD,474768
O258,14,Elektronik,Semarang,Kartu Kredit,145873
O259,18,Rumah Tangga,Purworejo,Kartu Kredit,309528
O260,8,Rumah Tangga,Semarang,E-Wallet,161913
O261,10,Rumah Tangga,Semarang,COD,457531
O262,5,Elektronik,Yogyakarta,Transfer Bank,212689
O263,10,Kesehatan,Yogyakarta,E-Wallet,148241
O264,3,Fashion,Solo,E-Wallet,125606
O265,20,Rumah Tangga,Purworejo,COD,344410
O266,9,Rumah Tangga,Magelang,COD,262856
O267,8,Elektronik,Yogyakarta,Kartu Kredit,92703
O268,12,Makanan,Purworejo,E-Wallet,216258
O269,16,Kesehatan,Purworejo,COD,70203
O270,3,Elektronik,Semarang,Transfer Bank,390116
O271,8,Kesehatan,Solo,Transfer Bank,361051
O272,3,Makanan,Semarang,COD,96431
O273,7,Kesehatan,Semarang,Transfer Bank,124653
O274,19,Fashion,Yogyakarta,E-Wallet,151509
O275,7,Elektronik,Magelang,Transfer Bank,345983
O276,12,Elektronik,Semarang,E-Wallet,436200
O277,2,Fashion,Magelang,Transfer Bank,428787
O278,3,Makanan,Semarang,Transfer Bank,61966
O279,3,Makanan,Magelang,Kartu Kredit,414837
O280,11,Fashion,Semarang,COD,311146
O281,2,Elektronik,Solo,Kartu Kredit,83711
O282,5,Elektronik,Yogyakarta,E-Wallet,376528
O283,7,Elektronik,Magelang,COD,390781
O284,19,Kesehatan,Purworejo,Transfer Bank,155384
O285,14,Rumah Tangga,Solo,Kartu Kredit,393114
O286,7,Elektronik,Semarang,E-Wallet,395936
O287,17,Elektronik,Purworejo,Transfer Bank,379914
O288,1,Kesehatan,Magelang,Transfer Bank,381738
O289,16,Kesehatan,Yogyakarta,COD,237140
O290,11,Fashion,Magelang,E-Wallet,60226
O291,13,Kesehatan,Solo,Kartu Kredit,482283
O292,13,Elektronik,Purworejo,COD,336967
O293,8,Elektronik,Yogyakarta,COD,165601
O294,5,Fashion,Solo,COD,275859
O295,3,Makanan,Semarang,Transfer Bank,492717
O296,12,Fashion,Semarang,COD,206875
O297,20,Fashion,Semarang,COD,448833
O298,17,Makanan,Solo,E-Wallet,85777
O299,20,Fashion,Magelang,E-Wallet,103302
O300,18,Kesehatan,Yogyakarta,Kartu Kredit,317322
O301,13,Rumah Tangga,Yogyakarta,Transfer Bank,156408
O302,18,Rumah Tangga,Yogyakarta,E-Wallet,64114
O303,1,Elektronik,Purworejo,Kartu Kredit,191658
O304,16,Makanan,Semarang,Kartu Kredit,288247
O305,19,Makanan,Yogyakarta,Transfer Bank,410732
O306,17,Rumah Tangga,Magelang,Kartu Kredit,366769
O307,20,Rumah Tangga,Solo,Kartu Kredit,386832
O308,2,Rumah Tangga,Magelang,Kartu Kredit,421584
O309,5,Elektronik,Purworejo,Kartu Kredit,136524
O310,7,Elektronik,Yogyakarta,Transfer Bank,392492
O311,2,Kesehatan,Purworejo,Kartu Kredit,329693
O312,14,Rumah Tangga,Solo,E-Wallet,486426
O313,12,Fashion,Solo,Transfer Bank,383529
O314,16,Fashion,Semarang,Kartu Kredit,383916
O315,19,Kesehatan,Purworejo,COD,124000
O316,17,Makanan,Magelang,E-Wallet,438778
O317,10,Elektronik,Semarang,Transfer Bank,270607
O318,5,Kesehatan,Yogyakarta,E-Wallet,340833
O319,6,Makanan,Magelang,Kartu Kredit,306145
O320,10,Fashion,Solo,COD,119732
O321,7,Elektronik,Solo,Transfer Bank,492489
O322,6,Rumah Tangga,Magelang,Kartu Kredit,489822
O323,15,Kesehatan,Solo,COD,479895
O324,18,Makanan,Semarang,E-Wallet,102383
O325,18,Fashion,Purworejo,Transfer Bank,248091
O326,20,Makanan,Magelang,E-Wallet,214886
O327,15,Rumah Tangga,Semarang,E-Wallet,413809
O328,13,Rumah Tangga,Yogyakarta,COD,105180
O329,18,Rumah Tangga,Yogyakarta,COD,337852
O330,8,Elektronik,Magelang,Transfer Bank,368869
O331,13,Elektronik,Solo,COD,475113
O332,12,Rumah Tangga,Purworejo,COD,473392
O333,8,Makanan,Solo,Transfer Bank,347892
O334,9,Elektronik,Purworejo,COD,439317
O335,6,Elektronik,Purworejo,E-Wallet,278654
O336,6,Elektronik,Magelang,COD,390498
O337,6,Elektronik,Purworejo,Transfer Bank,323150
O338,12,Fashion,Semarang,Transfer Bank,170807
O339,11,Rumah Tangga,Yogyakarta,Transfer Bank,111691
O340,6,Makanan,Purworejo,Kartu Kredit,449006
O341,1,Makanan,Magelang,E-Wallet,434347
O342,1,Elektronik,Purworejo,Transfer Bank,230206
O343,16,Fashion,Semarang,Kartu Kredit,455652
O344,18,Elektronik,Semarang,Kartu Kredit,103533
O345,11,Fashion,Solo,E-Wallet,338264
O346,14,Fashion,Purworejo,E-Wallet,342321
O347,11,Kesehatan,Semarang,Transfer Bank,493701
O348,9,Makanan,Purworejo,Kartu Kredit,323168
O349,3,Makanan,Semarang,Kartu Kredit,457008
O350,17,Kesehatan,Yogyakarta,Kartu Kredit,105327
O351,14,Fashion,Purworejo,Kartu Kredit,148925
O352,8,Kesehatan,Semarang,Kartu Kredit,68482
O353,15,Kesehatan,Yogyakarta,Transfer Bank,470435
O354,9,Kesehatan,Magelang,E-Wallet,376271
O355,3,Fashion,Semarang,Transfer Bank,191410
O356,6,Rumah Tangga,Yogyakarta,Transfer Bank,316994
O357,20,Kesehatan,Magelang,E-Wallet,257657
O358,5,Kesehatan,Purworejo,Transfer Bank,350975
O359,8,Kesehatan,Magelang,Transfer Bank,143387
O360,17,Makanan,Semarang,E-Wallet,314700
O361,3,Makanan,Solo,E-Wallet,64695
O362,13,Rumah Tangga,Magelang,COD,419696
O363,6,Kesehatan,Magelang,Kartu Kredit,366156
O364,14,Makanan,Solo,Transfer Bank,454777
O365,6,Fashion,Yogyakarta,E-Wallet,150416
O366,9,Makanan,Magelang,E-Wallet,454242
O367,10,Kesehatan,Solo,E-Wallet,72070
O368,11,Fashion,Purworejo,COD,296669
O369,16,Fashion,Magelang,Transfer Bank,71200
O370,2,Makanan,Purworejo,E-Wallet,487215
O371,15,Makanan,Purworejo,COD,282136
O372,6,Rumah Tangga,Semarang,Kartu Kredit,469733
O373,12,Rumah Tangga,Semarang,Transfer Bank,442774
O374,6,Makanan,Solo,Transfer Bank,205939
O375,14,Fashion,Purworejo,Transfer Bank,83220
O376,19,Makanan,Purworejo,Kartu Kredit,425477
O377,11,Fashion,Magelang,E-Wallet,268149
O378,13,Makanan,Magelang,E-Wallet,325646
O379,7,Rumah Tangga,Semarang,COD,326845
O380,14,Makanan,Solo,Kartu Kredit,311825
O381,13,Fashion,Purworejo,Kartu Kredit,336149
O382,4,Kesehatan,Semarang,Kartu Kredit,335905
O383,11,Rumah Tangga,Magelang,Transfer Bank,310811
O384,15,Kesehatan,Solo,Kartu Kredit,329883
O385,8,Makanan,Semarang,COD,141706
O386,18,Fashion,Magelang,Transfer Bank,168626
O387,20,Fashion,Magelang,Transfer Bank,117694
O388,5,Makanan,Magelang,Kartu Kredit,175995
O389,17,Kesehatan,Magelang,Transfer Bank,99930
O390,9,Makanan,Magelang,E-Wallet,77401
O391,6,Makanan,Semarang,COD,205490
O392,3,Fashion,Solo,Transfer Bank,428937
O393,17,Rumah Tangga,Purworejo,Kartu Kredit,164419
O394,5,Rumah Tangga,Magelang,COD,463467
O395,7,Elektronik,Purworejo,Transfer Bank,346603
O396,13,Elektronik,Purworejo,Kartu Kredit,365091
O397,19,Makanan,Magelang,Kartu Kredit,288679
O398,5,Fashion,Yogyakarta,COD,203741
O399,4,Kesehatan,Purworejo,COD,411861
O400,3,Elektronik,Yogyakarta,COD,414511
O401,19,Kesehatan,Purworejo,Kartu Kredit,313613
O402,5,Makanan,Magelang,Transfer Bank,470904
O403,7,Elektronik,Yogyakarta,COD,119902
O404,14,Fashion,Solo,Kartu Kredit,330754
O405,2,Kesehatan,Semarang,Kartu Kredit,403393
O406,4,Rumah Tangga,Semarang,Kartu Kredit,309161
O407,8,Makanan,Solo,Transfer Bank,71324
O408,18,Rumah Tangga,Purworejo,COD,96726
O409,17,Kesehatan,Magelang,COD,356322
O410,1,Kesehatan,Semarang,E-Wallet,104674
O411,1,Kesehatan,Solo,COD,148136
O412,20,Fashion,Yogyakarta,Kartu Kredit,227111
O413,9,Fashion,Yogyakarta,E-Wallet,146356
O414,11,Rumah Tangga,Magelang,Transfer Bank,357269
O415,3,Kesehatan,Magelang,COD,153176
O416,2,Kesehatan,Semarang,COD,150191
O417,7,Kesehatan,Solo,E-Wallet,338545
O418,8,Makanan,Purworejo,Kartu Kredit,249982
O419,15,Rumah Tangga,Solo,E-Wallet,494760
O420,17,Fashion,Semarang,Transfer Bank,427117
O421,16,Rumah Tangga,Semarang,Transfer Bank,118716
O422,4,Rumah Tangga,Solo,E-Wallet,308165
O423,14,Kesehatan,Magelang,Kartu Kredit,310536
O424,4,Rumah Tangga,Semarang,Kartu Kredit,379152
O425,8,Elektronik,Solo,COD,370154
O426,20,Makanan,Purworejo,Kartu Kredit,161225
O427,6,Kesehatan,Purworejo,Transfer Bank,369573
O428,7,Fashion,Solo,E-Wallet,418080
O429,4,Fashion,Purworejo,Kartu Kredit,427531
O430,15,Elektronik,Solo,E-Wallet,430310
O431,5,Fashion,Purworejo,Kartu Kredit,198897
O432,15,Elektronik,Semarang,E-Wallet,185812
O433,7,Makanan,Magelang,Kartu Kredit,355489
O434,5,Rumah Tangga,Solo,E-Wallet,490373
O435,5,Kesehatan,Magelang,Transfer Bank,137038
O436,5,Makanan,Purworejo,COD,462071
O437,10,Rumah Tangga,Purworejo,COD,95267
O438,12,Rumah Tangga,Magelang,Transfer Bank,172686
O439,7,Kesehatan,Solo,Transfer Bank,329733
O440,12,Makanan,Purworejo,Kartu Kredit,361345
O441,19,Fashion,Solo,Kartu Kredit,291596
O442,1,Kesehatan,Purworejo,E-Wallet,351528
O443,3,Fashion,Magelang,Transfer Bank,136255
O444,3,Elektronik,Purworejo,COD,227163
O445,12,Kesehatan,Purworejo,E-Wallet,440678
O446,17,Makanan,Semarang,Kartu Kredit,84339
O447,16,Rumah Tangga,Yogyakarta,Transfer Bank,488849
O448,14,Kesehatan,Semarang,COD,172236
O449,15,Fashion,Yogyakarta,Transfer Bank,165536
O450,13,Makanan,Solo,Transfer Bank,339252
O451,16,Makanan,Magelang,Transfer Bank,296377
O452,9,Elektronik,Yogyakarta,Transfer Bank,117019
O453,8,Makanan,Semarang,Kartu Kredit,343413
O454,17,Kesehatan,Purworejo,E-Wallet,201094
O455,19,Makanan,Purworejo,COD,73118
O456,13,Elektronik,Magelang,COD,381225
O457,7,Makanan,Purworejo,E-Wallet,126126
O458,9,Fashion,Purworejo,E-Wallet,121691
O459,9,Kesehatan,Yogyakarta,COD,439158
O460,11,Fashion,Solo,Kartu Kredit,399434
O461,2,Kesehatan,Magelang,Transfer Bank,186635
O462,20,Makanan,Solo,E-Wallet,162019
O463,2,Fashion,Yogyakarta,Kartu Kredit,199208
O464,14,Fashion,Magelang,Transfer Bank,112850
O465,15,Fashion,Semarang,E-Wallet,387413
O466,13,Rumah Tangga,Magelang,E-Wallet,488795
O467,10,Fashion,Semarang,E-Wallet,134173
O468,3,Kesehatan,Semarang,E-Wallet,484618
O469,16,Rumah Tangga,Solo,E-Wallet,337736
O470,14,Elektronik,Magelang,E-Wallet,151534
O471,4,Makanan,Semarang,Transfer Bank,285505
O472,7,Elektronik,Semarang,Kartu Kredit,109557
O473,9,Elektronik,Yogyakarta,Transfer Bank,133288
O474,20,Kesehatan,Yogyakarta,E-Wallet,417750
O475,8,Makanan,Solo,Transfer Bank,139607
O476,11,Elektronik,Yogyakarta,Transfer Bank,284262
O477,3,Fashion,Yogyakarta,E-Wallet,439927
O478,20,Rumah Tangga,Semarang,Kartu Kredit,229690
O479,1,Elektronik,Semarang,Kartu Kredit,376780
O480,16,Elektronik,Magelang,E-Wallet,142945
O481,11,Kesehatan,Yogyakarta,Kartu Kredit,271069
O482,7,Makanan,Magelang,Kartu Kredit,267752
O483,5,Makanan,Semarang,COD,173100
O484,2,Fashion,Purworejo,E-Wallet,340415
O485,11,Makanan,Semarang,Kartu Kredit,171096
O486,20,Elektronik,Magelang,E-Wallet,382686
O487,12,Fashion,Solo,Kartu Kredit,391560
O488,12,Rumah Tangga,Semarang,E-Wallet,293305
O489,6,Kesehatan,Yogyakarta,Kartu Kredit,419980
O490,11,Fashion,Solo,COD,320980
O491,3,Elektronik,Magelang,E-Wallet,284578
O492,14,Elektronik,Solo,Transfer Bank,67459
O493,8,Fashion,Semarang,Kartu Kredit,63890
O494,12,Elektronik,Purworejo,E-Wallet,213501
O495,20,Kesehatan,Solo,COD,54977
O496,16,Elektronik,Purworejo,COD,443175
O497,20,Makanan,Solo,Kartu Kredit,73783
O498,5,Kesehatan,Magelang,Transfer Bank,419327
O499,18,Fashion,Purworejo,E-Wallet,304070
O500,15,Rumah Tangga,Purworejo,E-Wallet,66753
O501,9,Kesehatan,Yogyakarta,COD,101967
O502,16,Kesehatan,Purworejo,COD,89120
O503,6,Rumah Tangga,Yogyakarta,Kartu Kredit,453521
O504,13,Elektronik,Purworejo,Kartu Kredit,214768
O505,4,Rumah Tangga,Purworejo,COD,90318
O506,17,Fashion,Purworejo,Transfer Bank,71556
O507,14,Elektronik,Yogyakarta,Kartu Kredit,90880
O508,12,Elektronik,Yogyakarta,COD,73312
O509,5,Fashion,Purworejo,COD,179723
O510,11,Rumah Tangga,Magelang,Kartu Kredit,321110
O511,1,Elektronik,Semarang,E-Wallet,469716
O512,19,Kesehatan,Yogyakarta,COD,465175
O513,14,Kesehatan,Purworejo,COD,90962
O514,13,Rumah Tangga,Solo,COD,395771
O515,10,Kesehatan,Semarang,Transfer Bank,121211
O516,9,Rumah Tangga,Magelang,Transfer Bank,309537
O517,12,Kesehatan,Purworejo,COD,374114
O518,12,Elektronik,Semarang,Kartu Kredit,304779
O519,12,Fashion,Magelang,E-Wallet,162380
O520,5,Elektronik,Magelang,Transfer Bank,276299
